"prisonerID";"Fname";"Lname";"DOB";"crime";"paroleDate";"behaviourRisk";"workType";"cellNum"
16;"Michaela";"MacGillespie";"1938-06-21";"treason";"2024-01-08";1;"general labour";4
17;"Rory";"Mc Grath";"1922-11-12";"riot";"2021-06-20";1;"general labour";5
18;"Simmonds";"Lovie";"1933-11-11";"kidnapping";"2020-07-23";1;"laundry";5
19;"Moyra";"Flagg";"1956-07-26";"manslaughter";"2019-03-19";1;"kitchen";5
20;"Hans";"Tisor";"1925-04-18";"murder";"2018-08-04";1;"general labour";5
21;"Deidre";"Rowledge";"1933-10-25";"arson";"2022-05-06";1;"kitchen";6
22;"Newton";"Vigrass";"1986-09-07";"arson";"2022-11-20";1;"laundry";6
23;"Jade";"Castelletto";"1926-08-21";"mayhem";"2023-02-27";1;"general labour";6
24;"Filide";"Ducket";"1989-01-16";"kidnapping";"2020-01-18";1;"kitchen";6
25;"Martguerita";"Dunnett";"1928-01-23";"kidnapping";"2018-10-23";1;"kitchen";7
26;"Cammy";"Sulland";"1922-11-17";"riot";"2027-04-27";1;"general labour";7
27;"Leisha";"Kembrey";"1910-01-31";"riot";"2018-07-12";1;"kitchen";7
28;"Yvonne";"MacArthur";"1986-03-05";"riot";"2023-08-07";1;"laundry";7
29;"Ruth";"Goodrick";"1926-03-19";"manslaughter";"2027-03-28";1;"general labour";8
30;"Guillaume";"Ditty";"1928-11-05";"riot";"2018-02-28";1;"kitchen";8
31;"Tricia";"Ilyenko";"1933-06-09";"kidnapping";"2023-08-12";1;"kitchen";8
32;"Latia";"Chetham";"1971-09-27";"battery";"2025-02-20";1;"kitchen";8
33;"Randi";"Garstang";"1919-07-30";"kidnapping";"2019-06-25";1;"general labour";9
34;"Lezley";"Grimbaldeston";"1939-11-26";"common assault";"2021-03-16";1;"general labour";9
35;"Val";"Kedslie";"1967-06-11";"common assault";"2020-04-28";1;"general labour";9
36;"Elaine";"Scay";"1959-08-15";"mayhem";"2026-03-06";1;"general labour";9
37;"Stacee";"Laughlin";"1929-01-22";"battery";"2027-02-13";1;"kitchen";10
38;"Hazel";"Melloy";"1923-01-26";"mayhem";"2026-11-18";1;"laundry";10
39;"Ewell";"Antonsen";"1925-05-19";"kidnapping";"2025-01-07";1;"general labour";10
40;"Isadore";"Flucker";"1925-02-23";"rape";"2018-04-21";1;"laundry";10
41;"Bernadina";"Hastilow";"1983-06-01";"treason";"2024-06-27";1;"general labour";11
42;"Yehudit";"Hurdman";"1966-11-17";"forgery";"2019-07-30";1;"kitchen";11
43;"Nikolia";"Parsonage";"1952-03-28";"treason";"2026-01-17";1;"laundry";11
44;"Othilie";"Joskowicz";"1946-03-15";"kidnapping";"2019-11-22";1;"kitchen";11
45;"Alexina";"Follin";"1939-07-04";"manslaughter";"2018-03-28";1;"general labour";12
46;"Dita";"Beach";"1915-11-10";"common assault";"2024-08-30";1;"general labour";12
47;"Rhianon";"Yurkin";"1946-01-07";"common assault";"2022-07-19";1;"laundry";12
48;"Fiann";"Hoyte";"1948-10-27";"rape";"2018-12-21";1;"general labour";12
49;"Kit";"Sherrell";"1988-01-05";"murder";"2028-03-15";1;"kitchen";13
50;"Mellie";"Mattam";"1948-12-06";"manslaughter";"2028-09-13";1;"laundry";13
51;"Borden";"Bushby";"1982-05-16";"treason";"2026-12-26";1;"general labour";13
52;"Adeline";"Decruse";"1964-12-12";"common assault";"2019-10-08";1;"laundry";13
53;"Jaynell";"Posner";"1981-05-09";"treason";"2024-07-24";1;"kitchen";14
54;"Karlie";"Enrigo";"1923-04-17";"mayhem";"2020-04-02";1;"kitchen";14
55;"Kimberlee";"Towse";"1999-03-26";"arson";"2024-08-04";1;"general labour";14
56;"Kenna";"Blackesland";"1949-12-11";"arson";"2020-12-07";1;"kitchen";14
57;"Valina";"Ounsworth";"1960-03-26";"riot";"2021-08-14";1;"kitchen";15
58;"Carrie";"Bushen";"1962-11-11";"mayhem";"2020-09-11";1;"kitchen";15
59;"Rey";"Troth";"1920-09-29";"arson";"2027-12-10";1;"laundry";15
60;"Bale";"Beat";"1962-06-26";"common assault";"2022-03-31";1;"laundry";15
61;"Hyacinthia";"Gercke";"1967-01-01";"kidnapping";"2028-10-02";1;"laundry";16
62;"Fanya";"Thowless";"1981-07-29";"mayhem";"2025-12-02";1;"general labour";16
63;"Ileana";"Phythean";"1935-01-16";"arson";"2018-11-02";1;"kitchen";16
64;"Constance";"Potkins";"1932-05-30";"mayhem";"2028-08-04";1;"general labour";16
65;"Fifi";"Vitler";"1993-08-21";"arson";"2019-11-09";1;"general labour";17
