prisonID,fName,lName,DOB,crime,paroleDate,behaviourRisk,workType,cellNum
1,Jolie,Beebe,1929-04-21 0:48,riot,2023-02-14 23:15,1,general labour,1
2,Amelia,Clackson,1943-06-22 12:44,kidnapping,2026-04-09 15:50,1,laundry,1
3,Cristionna,Humpherston,1936-12-08 1:47,extortion,2028-08-26 1:40,1,laundry,1
4,Inez,Greenig,1947-12-13 21:16,murder,2028-10-26 2:00,1,general labour,1
5,Gillan,Ovenden,1961-07-16 4:34,forgery,2025-08-08 19:47,1,kitchen,2
6,Geoffrey,Bairstow,1995-07-09 15:18,murder,2022-03-31 18:25,1,laundry,2
7,Jeffry,Kasman,1938-03-17 3:04,kidnapping,2027-05-23 9:53,1,general labour,2
8,Mannie,Rushworth,1929-01-20 1:48,mayhem,2018-02-20 0:51,1,kitchen,2
9,Camala,Thoday,1931-10-02 18:55,manslaughter,2019-03-14 15:36,1,laundry,3
10,Carrol,Innis,1974-07-05 3:59,rape,2025-02-12 5:27,1,laundry,3
11,Kelcie,Weiser,1935-03-24 3:14,arson,2021-03-14 12:09,1,laundry,3
12,Hillery,Jedrzejkiewicz,1927-06-17 22:09,mayhem,2020-05-31 20:13,1,laundry,3
13,Justis,Headland,1920-08-18 22:42,battery,2028-04-14 7:29,1,general labour,4
14,Hynda,Cappineer,1951-05-13 8:23,rape,2027-06-22 6:02,1,kitchen,4
15,Mohammed,Antusch,1969-07-10 4:52,treason,2021-12-25 10:56,1,general labour,4
16,Michaela,MacGillespie,1938-06-21 5:51,treason,2024-01-08 11:42,1,general labour,4
17,Rory,Mc Grath,1922-11-12 20:13,riot,2021-06-20 1:23,1,general labour,5
18,Simmonds,Lovie,1933-11-11 8:55,kidnapping,2020-07-23 0:46,1,laundry,5
19,Moyra,Flagg,1956-07-26 10:58,manslaughter,2019-03-19 3:47,1,kitchen,5
20,Hans,Tisor,1925-04-18 1:08,murder,2018-08-04 19:24,1,general labour,5
21,Deidre,Rowledge,1933-10-25 6:03,arson,2022-05-06 12:36,1,kitchen,6
22,Newton,Vigrass,1986-09-07 7:06,arson,2022-11-20 22:47,1,laundry,6
23,Jade,Castelletto,1926-08-21 6:33,mayhem,2023-02-27 23:59,1,general labour,6
24,Filide,Ducket,1989-01-16 6:35,kidnapping,2020-01-18 20:27,1,kitchen,6
25,Martguerita,Dunnett,1928-01-23 0:42,kidnapping,2018-10-23 22:43,1,kitchen,7
26,Cammy,Sulland,1922-11-17 0:44,riot,2027-04-27 5:45,1,general labour,7
27,Leisha,Kembrey,1910-01-31 9:32,riot,2018-07-12 12:21,1,kitchen,7
28,Yvonne,MacArthur,1986-03-05 5:24,riot,2023-08-07 16:40,1,laundry,7
29,Ruth,Goodrick,1926-03-19 14:03,manslaughter,2027-03-28 17:34,1,general labour,8
30,Guillaume,Ditty,1928-11-05 1:48,riot,2018-02-28 4:29,1,kitchen,8
31,Tricia,Ilyenko,1933-06-09 18:40,kidnapping,2023-08-12 23:46,1,kitchen,8
32,Latia,Chetham,1971-09-27 3:55,battery,2025-02-20 13:38,1,kitchen,8
33,Randi,Garstang,1919-07-30 13:49,kidnapping,2019-06-25 2:47,1,general labour,9
34,Lezley,Grimbaldeston,1939-11-26 8:29,common assault,2021-03-16 20:28,1,general labour,9
35,Val,Kedslie,1967-06-11 7:03,common assault,2020-04-28 1:11,1,general labour,9
36,Elaine,Scay,1959-08-15 9:35,mayhem,2026-03-06 21:55,1,general labour,9
37,Stacee,Laughlin,1929-01-22 1:31,battery,2027-02-13 21:14,1,kitchen,10
38,Hazel,Melloy,1923-01-26 0:07,mayhem,2026-11-18 9:56,1,laundry,10
39,Ewell,Antonsen,1925-05-19 23:51,kidnapping,2025-01-07 15:32,1,general labour,10
40,Isadore,Flucker,1925-02-23 15:23,rape,2018-04-21 0:35,1,laundry,10
41,Bernadina,Hastilow,1983-06-01 1:00,treason,2024-06-27 13:48,1,general labour,11
42,Yehudit,Hurdman,1966-11-17 16:26,forgery,2019-07-30 12:25,1,kitchen,11
43,Nikolia,Parsonage,1952-03-28 14:11,treason,2026-01-17 20:29,1,laundry,11
44,Othilie,Joskowicz,1946-03-15 7:34,kidnapping,2019-11-22 16:26,1,kitchen,11
45,Alexina,Follin,1939-07-04 0:52,manslaughter,2018-03-28 4:47,1,general labour,12
46,Dita,Beach,1915-11-10 9:54,common assault,2024-08-30 8:19,1,general labour,12
47,Rhianon,Yurkin,1946-01-07 19:37,common assault,2022-07-19 4:43,1,laundry,12
48,Fiann,Hoyte,1948-10-27 15:23,rape,2018-12-21 22:20,1,general labour,12
49,Kit,Sherrell,1988-01-05 21:24,murder,2028-03-15 17:41,1,kitchen,13
50,Mellie,Mattam,1948-12-06 19:45,manslaughter,2028-09-13 20:39,1,laundry,13
51,Borden,Bushby,1982-05-16 0:24,treason,2026-12-26 6:43,1,general labour,13
52,Adeline,Decruse,1964-12-12 10:16,common assault,2019-10-08 13:51,1,laundry,13
53,Jaynell,Posner,1981-05-09 10:27,treason,2024-07-24 14:19,1,kitchen,14
54,Karlie,Enrigo,1923-04-17 1:36,mayhem,2020-04-02 5:42,1,kitchen,14
55,Kimberlee,Towse,1999-03-26 14:25,arson,2024-08-04 0:06,1,general labour,14
56,Kenna,Blackesland,1949-12-11 0:01,arson,2020-12-07 6:54,1,kitchen,14
57,Valina,Ounsworth,1960-03-26 10:49,riot,2021-08-14 12:34,1,kitchen,15
58,Carrie,Bushen,1962-11-11 1:22,mayhem,2020-09-11 18:42,1,kitchen,15
59,Rey,Troth,1920-09-29 14:25,arson,2027-12-10 7:26,1,laundry,15
60,Bale,Beat,1962-06-26 2:37,common assault,2022-03-31 8:17,1,laundry,15
